timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-03-21T18:53:52,codecarbon,d6675ace-871e-48ce-bae1-640193c30fc9,0.2726430892944336,2.137131334898656e-06,7.838567778957044e-06,52.5,0.0,23.50766515731812,3.965235253175099e-06,0,1.7699669422731293e-06,5.735202195448229e-06,Italy,ITA,emilia-romagna,,,Linux-6.12.10-76061203-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,32,AMD Ryzen 9 5950X 16-Core Processor,,,10.9231,44.6534,62.68710708618164,machine,N,1.0
2025-03-21T19:30:11,codecarbon,d55af4eb-20db-4643-9d51-b23f9520363e,0.2762017250061035,2.166229705723897e-06,7.842926055860178e-06,52.5,0.0,23.50766515731812,4.018449783325196e-06,0,1.7948407530292344e-06,5.81329053635443e-06,Italy,ITA,emilia-romagna,,,Linux-6.12.10-76061203-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,32,AMD Ryzen 9 5950X 16-Core Processor,,,10.9231,44.6534,62.68710708618164,machine,N,1.0
2025-03-21T19:41:25,codecarbon,2867aa91-416c-4d1e-9e29-7bd524a5b0bc,0.2799692153930664,2.195511084301574e-06,7.841973201300571e-06,52.5,0.0,23.50766515731812,4.073444505532583e-06,0,1.818425491036635e-06,5.891869996569218e-06,Italy,ITA,emilia-romagna,,,Linux-6.12.10-76061203-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,32,AMD Ryzen 9 5950X 16-Core Processor,,,10.9231,44.6534,62.68710708618164,machine,N,1.0
2025-03-21T19:58:38,codecarbon,ad789880-8d80-4c2a-94ee-756f41f825fb,0.2750799655914306,2.156600033073894e-06,7.83990222056752e-06,52.5,0.0,23.50766515731812,4.000581800937652e-06,0,1.7868665614605563e-06,5.7874483623982086e-06,Italy,ITA,emilia-romagna,,,Linux-6.12.10-76061203-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,32,AMD Ryzen 9 5950X 16-Core Processor,,,10.9231,44.6534,62.68710708618164,machine,N,1.0
2025-03-24T15:10:20,codecarbon,46b1ca6e-fac1-4dcf-abaf-27da69efad76,0.2774834632873535,2.174912948122055e-06,7.83799121704698e-06,52.5,0.0,23.50766515731812,4.035358130931854e-06,0,1.801234740684947e-06,5.836592871616801e-06,Italy,ITA,emilia-romagna,,,Linux-6.12.10-76061203-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,32,AMD Ryzen 9 5950X 16-Core Processor,,,10.9231,44.6534,62.68710708618164,machine,N,1.0
2025-03-24T15:26:10,codecarbon,2540458e-f373-4827-8d20-c59f32c39656,0.2855288982391357,2.240802454010852e-06,7.847900747805004e-06,52.5,0.0,23.50766515731812,4.156574606895447e-06,0,1.8568392362075773e-06,6.013413843103024e-06,Italy,ITA,emilia-romagna,,,Linux-6.12.10-76061203-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,32,AMD Ryzen 9 5950X 16-Core Processor,,,10.9231,44.6534,62.68710708618164,machine,N,1.0
2025-03-24T15:54:28,codecarbon,8842c202-91bc-4098-978b-2e96cdb013c9,0.2785127162933349,2.1850627118979163e-06,7.845468390019816e-06,52.5,0.0,23.50766515731812,4.053382575511932e-06,0,1.810448185765665e-06,5.863830761277598e-06,Italy,ITA,emilia-romagna,,,Linux-6.12.10-76061203-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,32,AMD Ryzen 9 5950X 16-Core Processor,,,10.9231,44.6534,62.68710708618164,machine,N,1.0
2025-03-24T16:12:09,codecarbon,477e07b5-027a-4c21-a03e-b55b07a8ab29,0.2775700092315674,2.1776937758418668e-06,7.845565815524002e-06,52.5,0.0,23.50766515731812,4.039700826009114e-06,0,1.804354670381088e-06,5.844055496390202e-06,Italy,ITA,emilia-romagna,,,Linux-6.12.10-76061203-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,32,AMD Ryzen 9 5950X 16-Core Processor,,,10.9231,44.6534,62.68710708618164,machine,N,1.0
2025-03-24T16:30:59,codecarbon,c13f54aa-d118-44d8-b2ef-af914db61024,0.2726328372955322,2.1376895766118904e-06,7.840910133267069e-06,52.5,0.0,23.50766515731812,3.966327011585236e-06,0,1.7703732804221774e-06,5.736700292007413e-06,Italy,ITA,emilia-romagna,,,Linux-6.12.10-76061203-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,32,AMD Ryzen 9 5950X 16-Core Processor,,,10.9231,44.6534,62.68710708618164,machine,N,1.0
2025-03-25T10:50:46,codecarbon,7a83f5be-5f38-4d0e-b76a-3b1f2831c53b,21.365429878234863,0.0001680881150091,7.867293846514412e-06,52.5,0.0,23.50766515731812,0.0003115750794609,0,0.0001395059142464,0.0004510809937074,Italy,ITA,emilia-romagna,,,Linux-6.12.10-76061203-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,32,AMD Ryzen 9 5950X 16-Core Processor,,,10.9231,44.6534,62.68710708618164,machine,N,1.0
